Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,0,0,0
,"Total, permit holders and their family members",,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,88,88,88
,Work permit holders only,,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,71,71,71
,Study permit holders only,,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,7,7,7
,Work and study permit holders,,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,2,2,2
,Other,,2022-01-01QQ1,Nunavat,Q1,,01-01-2022,,8,8,8
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ2,Ontario,Q2,,01-01-2022,,621708,621708,621708
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ2,Ontario,Q2,,01-01-2022,,67435,67435,67435
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,26495,26495,26495
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,963,963,963
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,1464,1464,1464
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,38513,38513,38513
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ2,Ontario,Q2,,01-01-2022,,554273,554273,554273
,Work permit holders only,Work permit holders only,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,229582,229582,229582
,Study permit holders only,Study permit holders only,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,207722,207722,207722
,Work and study permit holders,Work and study permit holders,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,97046,97046,97046
,Other,,2022-01-01QQ2,Ontario,Q2,,01-01-2022,,19923,19923,19923
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,260434,260434,260434
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,7853,7853,7853
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,3517,3517,3517
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,169,169,169
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,218,218,218
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,3949,3949,3949
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,252581,252581,252581
,Work permit holders only,Work permit holders only,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,104570,104570,104570
,Study permit holders only,Study permit holders only,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,112905,112905,112905
,Work and study permit holders,,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,25080,25080,25080
,Other,,2022-01-01QQ2,British Columbia,Q2,,01-01-2022,,10026,10026,10026
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ2,Alberta,Q2,,01-01-2022,,78375,78375,78375
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,3935,3935,3935
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,1851,1851,1851
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,43,43,43
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,73,73,73
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,1968,1968,1968
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ2,Alberta,Q2,,01-01-2022,,74440,74440,74440
,Work permit holders only,,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,37680,37680,37680
,Study permit holders only,,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,27255,27255,27255
,Work and study permit holders,,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,5668,5668,5668
,Other,,2022-01-01QQ2,Alberta,Q2,,01-01-2022,,3837,3837,3837
,"Total, non-permanent residents",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,7788,7788,7788
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,68,68,68
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,26,26,26
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,7,7,7
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,32,32,32
,"Total, permit holders and their family members",,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,7720,7720,7720
,Work permit holders only,,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,2439,2439,2439
,Study permit holders only,,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,4139,4139,4139
,Work and study permit holders,,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,849,849,849
,Other,,2022-01-01QQ2,Newfoundland and Labrador,Q2,,01-01-2022,,293,293,293
,"Total, non-permanent residents",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,7432,7432,7432
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,21,21,21
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,7,7,7
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,8,8,8
,"Total, permit holders and their family members",,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,7411,7411,7411
,Work permit holders only,,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,3411,3411,3411
,Study permit holders only,,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,3326,3326,3326
,Work and study permit holders,,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,467,467,467
,Other,,2022-01-01QQ2,Prince Edward Island,Q2,,01-01-2022,,207,207,207
,"Total, non-permanent residents",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,27805,27805,27805
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,251,251,251
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,113,113,113
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,13,13,13
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,15,15,15
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,110,110,110
,"Total, permit holders and their family members",,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,27554,27554,27554
,Work permit holders only,,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,10627,10627,10627
,Study permit holders only,,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,11677,11677,11677
,Work and study permit holders,,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,4007,4007,4007
,Other,,2022-01-01QQ2,Nova Scotia,Q2,,01-01-2022,,1243,1243,1243
,"Total, non-permanent residents",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,15644,15644,15644
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,140,140,140
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,60,60,60
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,4,4,4
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,74,74,74
,"Total, permit holders and their family members",,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,15504,15504,15504
,Work permit holders only,,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,6484,6484,6484
,Study permit holders only,,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,5583,5583,5583
,Work and study permit holders,,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,2752,2752,2752
,Other,,2022-01-01QQ2,New Brunswick,Q2,,01-01-2022,,685,685,685
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ2,Quebec,Q2,,01-01-2022,,295147,295147,295147
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ2,Quebec,Q2,,01-01-2022,,83973,83973,83973
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,33884,33884,33884
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,572,572,572
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,1206,1206,1206
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,48311,48311,48311
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ2,Quebec,Q2,,01-01-2022,,211174,211174,211174
,Work permit holders only,Work permit holders only,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,107516,107516,107516
,Study permit holders only,Study permit holders only,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,60405,60405,60405
,Work and study permit holders,,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,30683,30683,30683
,Other,,2022-01-01QQ2,Quebec,Q2,,01-01-2022,,12570,12570,12570
,"Total, non-permanent residents",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,35785,35785,35785
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,1448,1448,1448
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,758,758,758
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,17,17,17
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,26,26,26
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,647,647,647
,"Total, permit holders and their family members",,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,34337,34337,34337
,Work permit holders only,,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,13916,13916,13916
,Study permit holders only,,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,14647,14647,14647
,Work and study permit holders,,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,4811,4811,4811
,Other,,2022-01-01QQ2,Manitoba,Q2,,01-01-2022,,963,963,963
,"Total, non-permanent residents",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,19623,19623,19623
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,213,213,213
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,89,89,89
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,7,7,7
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,108,108,108
,"Total, permit holders and their family members",,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,19410,19410,19410
,Work permit holders only,,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,8220,8220,8220
,Study permit holders only,,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,8414,8414,8414
,Work and study permit holders,,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,1882,1882,1882
,Other,,2022-01-01QQ2,Saskatchewan,Q2,,01-01-2022,,894,894,894
,"Total, non-permanent residents",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,845,845,845
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,3,3,3
,"Total, permit holders and their family members",,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,842,842,842
,Work permit holders only,,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,613,613,613
,Study permit holders only,,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,185,185,185
,Work and study permit holders,,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,31,31,31
,Other,,2022-01-01QQ2,Yukon,Q2,,01-01-2022,,13,13,13
,"Total, non-permanent residents",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,324,324,324
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,4,4,4
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,4,4,4
,"Total, permit holders and their family members",,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,320,320,320
,Work permit holders only,,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,274,274,274
,Study permit holders only,,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,27,27,27
,Work and study permit holders,,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,9,9,9
,Other,,2022-01-01QQ2,Northwest Territories,Q2,,01-01-2022,,10,10,10
,"Total, non-permanent residents",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,75,75,75
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,0,0,0
,"Total, permit holders and their family members",,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,72,72,72
,Work permit holders only,,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,56,56,56
,Study permit holders only,,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,7,7,7
,Work and study permit holders,,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,1,1,1
,Other,,2022-01-01QQ2,Nunavat,Q2,,01-01-2022,,8,8,8
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ3,Ontario,Q3,,01-01-2022,,681501,681501,681501
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ3,Ontario,Q3,,01-01-2022,,69453,69453,69453
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,30068,30068,30068
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,847,847,847
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,1793,1793,1793
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,36745,36745,36745
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ3,Ontario,Q3,,01-01-2022,,612048,612048,612048
,Work permit holders only,Work permit holders only,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,257405,257405,257405
,Study permit holders only,Study permit holders only,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,224546,224546,224546
,Work and study permit holders,Work and study permit holders,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,108142,108142,108142
,Other,,2022-01-01QQ3,Ontario,Q3,,01-01-2022,,21955,21955,21955
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,283625,283625,283625
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,8180,8180,8180
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,4048,4048,4048
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,164,164,164
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,242,242,242
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,3726,3726,3726
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,275445,275445,275445
,Work permit holders only,Work permit holders only,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,119331,119331,119331
,Study permit holders only,Study permit holders only,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,117085,117085,117085
,Work and study permit holders,,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,27921,27921,27921
,Other,,2022-01-01QQ3,British Columbia,Q3,,01-01-2022,,11108,11108,11108
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ3,Alberta,Q3,,01-01-2022,,87043,87043,87043
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,4102,4102,4102
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,2057,2057,2057
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,53,53,53
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,95,95,95
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,1897,1897,1897
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ3,Alberta,Q3,,01-01-2022,,82941,82941,82941
,Work permit holders only,,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,44323,44323,44323
,Study permit holders only,,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,27829,27829,27829
,Work and study permit holders,,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,6270,6270,6270
,Other,,2022-01-01QQ3,Alberta,Q3,,01-01-2022,,4519,4519,4519
,"Total, non-permanent residents",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,9057,9057,9057
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,63,63,63
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,30,30,30
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,2,2,2
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,25,25,25
,"Total, permit holders and their family members",,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,8994,8994,8994
,Work permit holders only,,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,3455,3455,3455
,Study permit holders only,,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,4276,4276,4276
,Work and study permit holders,,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,889,889,889
,Other,,2022-01-01QQ3,Newfoundland and Labrador,Q3,,01-01-2022,,374,374,374
,"Total, non-permanent residents",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,7855,7855,7855
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,20,20,20
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,10,10,10
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,7,7,7
,"Total, permit holders and their family members",,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,7835,7835,7835
,Work permit holders only,,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,3860,3860,3860
,Study permit holders only,,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,3243,3243,3243
,Work and study permit holders,,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,508,508,508
,Other,,2022-01-01QQ3,Prince Edward Island,Q3,,01-01-2022,,224,224,224
,"Total, non-permanent residents",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,30276,30276,30276
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,257,257,257
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,125,125,125
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,6,6,6
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,24,24,24
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,102,102,102
,"Total, permit holders and their family members",,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,30019,30019,30019
,Work permit holders only,,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,12229,12229,12229
,Study permit holders only,,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,11650,11650,11650
,Work and study permit holders,,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,4773,4773,4773
,Other,,2022-01-01QQ3,Nova Scotia,Q3,,01-01-2022,,1367,1367,1367
,"Total, non-permanent residents",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,17896,17896,17896
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,144,144,144
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,68,68,68
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,5,5,5
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,5,5,5
,"Asylum claimants, protected persons and related groups without work or study permits",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,66,66,66
,"Total, permit holders and their family members",,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,17752,17752,17752
,Work permit holders only,,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,8462,8462,8462
,Study permit holders only,,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,5464,5464,5464
,Work and study permit holders,,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,2990,2990,2990
,Other,,2022-01-01QQ3,New Brunswick,Q3,,01-01-2022,,836,836,836
,"Total, non-permanent residents","Total, non-permanent residents",2022-01-01QQ3,Quebec,Q3,,01-01-2022,,322345,322345,322345
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2022-01-01QQ3,Quebec,Q3,,01-01-2022,,93428,93428,93428
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,37993,37993,37993
,"Asylum claimants, protected persons and related groups with study permit only",,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,526,526,526
,"Asylum claimants, protected persons and related groups with work and study permits",,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,1292,1292,1292
,"Asylum claimants, protected persons and related groups without work or study permits","Asylum claimants, protected persons and related groups without work or study permits",2022-01-01QQ3,Quebec,Q3,,01-01-2022,,53617,53617,53617
,"Total, permit holders and their family members","Total, permit holders and their family members",2022-01-01QQ3,Quebec,Q3,,01-01-2022,,228917,228917,228917
,Work permit holders only,Work permit holders only,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,124219,124219,124219
,Study permit holders only,Study permit holders only,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,59252,59252,59252
,Work and study permit holders,,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,31392,31392,31392
,Other,,2022-01-01QQ3,Quebec,Q3,,01-01-2022,,14054,14054,14054
,"Total, non-permanent residents",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,38901,38901,38901
,"Total, asylum claimants, protected persons and related groups ",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,1421,1421,1421
,"Asylum claimants, protected persons and related groups with work permit only",,2022-01-01QQ3,Manitoba,Q3,,01-01-2022,,797,797,797
