Ending Value,Non-permanent resident types,Non-PR greater than 52000,Period,Province,Quarters,Start Value,Years,Increase in Permit Holders,Max_NonPR_Type,Total Work Permit Holders,Values
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,9,9,9
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,4,4,4
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,0,0,0
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,3,3,3
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,2,2,2
,"Total, permit holders and their family members",,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,7816,7816,7816
,Work permit holders only,,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,4141,4141,4141
,Study permit holders only,,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,2908,2908,2908
,Work and study permit holders,,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,541,541,541
,Other,,2021-01-01QQ3,Prince Edward Island,Q3,,01-01-2021,,226,226,226
,"Total, non-permanent residents",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,27232,27232,27232
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,273,273,273
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,166,166,166
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,9,9,9
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,16,16,16
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,82,82,82
,"Total, permit holders and their family members",,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,26959,26959,26959
,Work permit holders only,,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,11744,11744,11744
,Study permit holders only,,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,9914,9914,9914
,Work and study permit holders,,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,4068,4068,4068
,Other,,2021-01-01QQ3,Nova Scotia,Q3,,01-01-2021,,1233,1233,1233
,"Total, non-permanent residents",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,13339,13339,13339
,"Total, asylum claimants, protected persons and related groups ",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,159,159,159
,"Asylum claimants, protected persons and related groups with work permit only",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,90,90,90
,"Asylum claimants, protected persons and related groups with study permit only",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,4,4,4
,"Asylum claimants, protected persons and related groups with work and study permits",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,9,9,9
,"Asylum claimants, protected persons and related groups without work or study permits",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,56,56,56
,"Total, permit holders and their family members",,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,13180,13180,13180
,Work permit holders only,,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,6824,6824,6824
,Study permit holders only,,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,3633,3633,3633
,Work and study permit holders,,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,2080,2080,2080
,Other,,2021-01-01QQ3,New Brunswick,Q3,,01-01-2021,,643,643,643
,"Total, non-permanent residents","Total, non-permanent residents",2021-01-01QQ3,Quebec,Q3,,01-01-2021,,283587,283587,283587
,"Total, asylum claimants, protected persons and related groups ","Total, asylum claimants, protected persons and related groups ",2021-01-01QQ3,Quebec,Q3,,01-01-2021,,82082,82082,82082
